protocol,t,repair,store
replicated,23068800,3,3
replicated,23155200,3,3
replicated,23241600,3,3
replicated,23328000,3,3
replicated,23414400,3,3
replicated,23500800,3,3
replicated,23587200,4,3
replicated,23673600,4,3
replicated,23760000,4,3
replicated,23846400,4,3
replicated,23932800,4,3
replicated,24019200,4,3
replicated,24105600,4,3
replicated,24192000,4,3
replicated,24278400,4,3
replicated,24364800,4,3
replicated,24451200,4,3
replicated,24537600,4,3
replicated,24624000,4,3
replicated,24710400,4,3
replicated,24796800,4,3
replicated,24883200,4,3
replicated,24969600,4,3
replicated,25056000,4,3
replicated,25142400,4,3
replicated,25228800,4,3
replicated,25315200,4,3
replicated,25401600,4,3
replicated,25488000,4,3
replicated,25574400,4,3
replicated,25660800,4,3
replicated,25747200,4,3
replicated,25833600,4,3
replicated,25920000,4,3
replicated,26006400,4,3
replicated,26092800,4,3
replicated,26179200,4,3
replicated,26265600,4,3
replicated,26352000,4,3
replicated,26438400,4,3
replicated,26524800,4,3
replicated,26611200,4,3
replicated,26697600,4,3
replicated,26784000,4,3
replicated,26870400,4,3
replicated,26956800,4,3
replicated,27043200,4,3
replicated,27129600,4,3
replicated,27216000,4,3
replicated,27302400,4,3
replicated,27388800,4,3
replicated,27475200,4,3
replicated,27561600,4,3
replicated,27648000,4,3
replicated,27734400,4,3
replicated,27820800,4,3
replicated,27907200,4,3
replicated,27993600,4,3
replicated,28080000,4,3
replicated,28166400,4,3
replicated,28252800,4,3
replicated,28339200,4,3
replicated,28425600,4,3
replicated,28512000,4,3
replicated,28598400,4,3
replicated,28684800,4,3
replicated,28771200,4,3
replicated,28857600,4,3
replicated,28944000,4,3
replicated,29030400,4,3
replicated,29116800,4,3
replicated,29203200,4,3
replicated,29289600,4,3
replicated,29376000,4,3
replicated,29462400,4,3
replicated,29548800,4,3
replicated,29635200,4,3
replicated,29721600,4,3
replicated,29808000,4,3
replicated,29894400,4,3
replicated,29980800,4,3
replicated,30067200,4,3
replicated,30153600,4,3
replicated,30240000,4,3
replicated,30326400,4,3
replicated,30412800,4,3
replicated,30499200,4,3
replicated,30585600,4,3
replicated,30672000,4,3
replicated,30758400,4,3
replicated,30844800,4,3
replicated,30931200,4,3
replicated,31017600,4,3
replicated,31104000,4,3
replicated,31190400,4,3
