_,protocol,put,get,comment
,,,, 64MB
1 ,  ec ,     8.173 ,      6.047
2 ,  ec ,     8.434 ,      6.132
3 ,  ec ,     8.399 ,      5.983
4 ,  ec ,     8.325 ,      6.152
5 ,  ec ,     8.253 ,      6.044
6 ,  ec ,     10.738,      6.103
7 ,  ec ,     9.963 ,      6.067
8 ,  ec ,     8.988 ,      6.158
9 ,  ec ,     8.341 ,      6.047
10,  ec ,     8.645 ,      6.084
1 ,  rep,     13.000,      8.488
2 ,  rep,     13.076,      8.426
3 ,  rep,     13.775,      8.404
4 ,  rep,     12.497,      8.412
5 ,  rep,     12.223,      8.627
6 ,  rep,     11.767,      8.487
7 ,  rep,     11.756,      8.503
8 ,  rep,     11.369,      8.448
9 ,  rep,     11.755,      8.399
10,  rep,     11.674,      8.469
