_,protocol,#peer,put,get,comment
,,,,, 64MB k = 64 put% = 160% select% = 200%
7 , entropyL-1GB,  2000,    10.91,       7.17
8 , entropyL-1GB,  2000,    10.94,       7.27
9 , entropyL-1GB,  2000,    10.79,       7.05
10, entropyL-1GB,  2000,    11.86,       7.77
1 , entropyL-1GB,  3000,    11.28,       7.30
2 , entropyL-1GB,  3000,    11.09,       7.41
3 , entropyL-1GB,  3000,    11.78,       7.29
4 , entropyL-1GB,  3000,    12.40,       7.65
5 , entropyL-1GB,  3000,    11.17,       7.26
6 , entropyL-1GB,  3000,    10.75,       6.92
7 , entropyL-1GB,  3000,    11.78,       7.14
8 , entropyL-1GB,  3000,    12.08,       7.47
9 , entropyL-1GB,  3000,    11.55,       7.16
10, entropyL-1GB,  3000,    10.74,       7.09
1 , entropyL-1GB,  4000,    11.58,       7.38
2 , entropyL-1GB,  4000,    11.70,       7.19
3 , entropyL-1GB,  4000,    11.15,       7.28
4 , entropyL-1GB,  4000,    11.19,       6.96
5 , entropyL-1GB,  4000,    12.18,       7.29
6 , entropyL-1GB,  4000,    11.37,       7.19
7 , entropyL-1GB,  4000,    11.73,       7.53
8 , entropyL-1GB,  4000,    11.13,       7.17
9 , entropyL-1GB,  4000,    11.05,       7.22
10, entropyL-1GB,  4000,    12.73,       8.68
1 , entropyL-1GB,  5000,    13.54,       9.56
2 , entropyL-1GB,  5000,    12.41,       7.51
3 , entropyL-1GB,  5000,    12.98,       9.60
4 , entropyL-1GB,  5000,    11.13,       7.39
5 , entropyL-1GB,  5000,    12.23,       7.45
6 , entropyL-1GB,  5000,    12.50,       7.30
7 , entropyL-1GB,  5000,    11.71,       7.26
8 , entropyL-1GB,  5000,    12.62,       7.35
9 , entropyL-1GB,  5000,    11.80,       7.37
10, entropyL-1GB,  5000,    10.65,       7.22
