protocol,t,repair,store
entropyF,86400,0,2.421875
entropyF,172800,0,2.421875
entropyF,259200,0,2.421875
entropyF,345600,0,2.421875
entropyF,432000,0,2.40625
entropyF,518400,0,2.40625
entropyF,604800,0,2.390625
entropyF,691200,0,2.375
entropyF,777600,0,2.34375
entropyF,864000,0,2.34375
entropyF,950400,0,2.34375
entropyF,1036800,0,2.328125
entropyF,1123200,0,2.328125
entropyF,1209600,0,2.328125
entropyF,1296000,0,2.328125
entropyF,1382400,0,2.3125
entropyF,1468800,0,2.28125
entropyF,1555200,0,2.265625
entropyF,1641600,0,2.265625
entropyF,1728000,0,2.265625
entropyF,1814400,0,2.265625
entropyF,1900800,0,2.265625
entropyF,1987200,0,2.265625
entropyF,2073600,0,2.265625
entropyF,2160000,0,2.265625
entropyF,2246400,0,2.265625
entropyF,2332800,0,2.265625
entropyF,2419200,0,2.25
entropyF,2505600,0,2.25
entropyF,2592000,0,2.25
entropyF,2678400,0,2.25
entropyF,2764800,0,2.25
entropyF,2851200,0,2.25
entropyF,2937600,0,2.234375
entropyF,3024000,0,2.234375
entropyF,3110400,0,2.234375
entropyF,3196800,0,2.21875
entropyF,3283200,0,2.1875
entropyF,3369600,0,2.171875
entropyF,3456000,0,2.15625
entropyF,3542400,0,2.15625
entropyF,3628800,0,2.15625
entropyF,3715200,0,2.15625
entropyF,3801600,0,2.140625
entropyF,3888000,0,2.140625
entropyF,3974400,0,2.125
entropyF,4060800,0,2.125
entropyF,4147200,0,2.125
entropyF,4233600,0,2.125
entropyF,4320000,0,2.109375
entropyF,4406400,0,2.109375
entropyF,4492800,0,2.109375
entropyF,4579200,0,2.109375
entropyF,4665600,0,2.109375
entropyF,4752000,0,2.109375
entropyF,4838400,0,2.109375
entropyF,4924800,0,2.109375
entropyF,5011200,0,2.109375
entropyF,5097600,0,2.109375
entropyF,5184000,0,2.109375
entropyF,5270400,0,2.109375
entropyF,5356800,0,2.109375
entropyF,5443200,0,2.09375
entropyF,5529600,0,2.078125
entropyF,5616000,0,2.078125
entropyF,5702400,0,2.078125
entropyF,5788800,0,2.078125
entropyF,5875200,0,2.078125
entropyF,5961600,0,2.0625
entropyF,6048000,0,2.0625
entropyF,6134400,0,2.046875
entropyF,6220800,0,2.03125
entropyF,6307200,0,2
entropyF,6393600,0,2
entropyF,6480000,0,1.984375
entropyF,6566400,0,1.984375
entropyF,6652800,0,1.96875
entropyF,6739200,0,1.96875
entropyF,6825600,0,1.96875
entropyF,6912000,0,1.96875
entropyF,6998400,0,1.96875
entropyF,7084800,0,1.96875
entropyF,7171200,0,1.96875
entropyF,7257600,0,1.96875
entropyF,7344000,0,1.96875
entropyF,7430400,0,1.96875
entropyF,7516800,0,1.953125
entropyF,7603200,0,1.9375
entropyF,7689600,0,1.9375
entropyF,7776000,0,1.9375
entropyF,7862400,0,1.9375
entropyF,7948800,0,1.9375
entropyF,8035200,0,1.921875
entropyF,8121600,0,1.90625
entropyF,8208000,0,1.90625
entropyF,8294400,0,1.90625
entropyF,8380800,0,1.90625
entropyF,8467200,0,1.890625
entropyF,8553600,0,1.890625
entropyF,8640000,0,1.859375
entropyF,8726400,0,1.859375
entropyF,8812800,0,1.859375
entropyF,8899200,0,1.859375
entropyF,8985600,0,1.859375
entropyF,9072000,0,1.859375
entropyF,9158400,0,1.84375
entropyF,9244800,0,1.84375
entropyF,9331200,0,1.84375
entropyF,9417600,0,1.84375
entropyF,9504000,0,1.8125
entropyF,9590400,0,1.8125
entropyF,9676800,0,1.8125
entropyF,9763200,0,1.796875
entropyF,9849600,0,1.796875
entropyF,9936000,0,1.796875
entropyF,10022400,0,1.796875
entropyF,10108800,0,1.796875
entropyF,10195200,0,1.796875
entropyF,10281600,0,1.796875
entropyF,10368000,0,1.796875
entropyF,10454400,0,1.796875
entropyF,10540800,0,1.78125
entropyF,10627200,0,1.78125
entropyF,10713600,0,1.78125
entropyF,10800000,0,1.765625
entropyF,10886400,0,1.765625
entropyF,10972800,0,1.75
entropyF,11059200,0,1.734375
entropyF,11145600,0,1.703125
entropyF,11232000,0,1.703125
entropyF,11318400,0,1.703125
entropyF,11404800,0,1.703125
entropyF,11491200,0,1.703125
entropyF,11577600,0,1.6875
entropyF,11664000,0,1.671875
entropyF,11750400,0,1.65625
entropyF,11836800,0,1.640625
entropyF,11923200,0,1.625
entropyF,12009600,0,1.609375
entropyF,12096000,0,1.609375
entropyF,12182400,0,1.609375
entropyF,12268800,0,1.609375
entropyF,12355200,0,1.59375
entropyF,12441600,0,1.59375
entropyF,12528000,0,1.59375
entropyF,12614400,0,1.59375
entropyF,12700800,168,4.1875
entropyF,12787200,168,4.1875
entropyF,12873600,168,4.171875
entropyF,12960000,168,4.15625
entropyF,13046400,168,4.15625
entropyF,13132800,168,4.109375
entropyF,13219200,168,4.09375
entropyF,13305600,168,4.0625
entropyF,13392000,168,4.046875
entropyF,13478400,168,4.015625
entropyF,13564800,168,3.984375
entropyF,13651200,168,3.96875
entropyF,13737600,168,3.96875
entropyF,13824000,168,3.953125
